Disaster_ID,Disaster_Type,Location,Magnitude,Date,Fatalities,Economic_Loss($)
1,Wildfire,Brazil,6.2673926276815095,2024-01-01 00:00:00,9706,650979004.0247917
2,Hurricane,Indonesia,6.64935786286365,2024-01-01 01:00:00,2233,553835714.9971709
3,Tornado,China,9.724365973472622,2024-01-01 02:00:00,478,69109975.54626009
4,Flood,India,1.7025050128215637,2024-01-01 03:00:00,2867,847488044.1764593
5,Flood,Brazil,7.917748011412222,2024-01-01 04:00:00,776,644929745.9808252
6,Tornado,China,2.717113008599857,2024-01-01 05:00:00,3534,574465547.7683645
7,Hurricane,India,6.491890634240094,2024-01-01 06:00:00,8220,342428649.4224654
8,Earthquake,China,2.652747469294584,2024-01-01 07:00:00,2261,697554915.1147318
9,Flood,Brazil,8.157574165374776,2024-01-01 08:00:00,5016,720960902.8379518
10,Flood,India,1.0241866427623108,2024-01-01 09:00:00,5135,998583347.2911227
11,Earthquake,Indonesia,8.405111071706369,2024-01-01 10:00:00,8636,301620439.6357995
12,Flood,USA,9.465754017318455,2024-01-01 11:00:00,439,350737478.35091716
13,Earthquake,USA,6.143754196292025,2024-01-01 12:00:00,206,570378176.6838186
14,Earthquake,China,8.948562576656371,2024-01-01 13:00:00,2176,452037092.45622116
15,Earthquake,Indonesia,8.298958692681332,2024-01-01 14:00:00,3512,688364608.3828303
16,Hurricane,Japan,6.850348155717872,2024-01-01 15:00:00,5423,720480066.3499309
17,Tornado,Indonesia,8.368748853298573,2024-01-01 16:00:00,4682,365297720.1269638
18,Wildfire,India,4.81366480445072,2024-01-01 17:00:00,1720,183142032.67301875
19,Earthquake,Japan,4.589685578220729,2024-01-01 18:00:00,3615,841308023.5412865
20,Earthquake,Japan,9.546150647587119,2024-01-01 19:00:00,142,470365410.50753623
21,Earthquake,India,6.229724704583683,2024-01-01 20:00:00,8823,243134578.85005108
22,Hurricane,USA,5.6720289292858705,2024-01-01 21:00:00,593,884922999.79834
