Disaster_Type,Location,Magnitude,Fatalities,Economic_Loss($),Month,Year,cluster
Wildfire,Brazil,6.2673926276815095,9706,650979004.0247917,1,2024,2
Hurricane,Indonesia,6.64935786286365,2233,553835714.9971709,1,2024,3
Tornado,China,9.724365973472622,478,69109975.54626009,1,2024,2
Flood,India,1.7025050128215635,2867,847488044.1764593,1,2024,0
Flood,Brazil,7.917748011412222,776,644929745.9808252,1,2024,0
Tornado,China,2.717113008599857,3534,574465547.7683645,1,2024,2
Hurricane,India,6.491890634240094,8220,342428649.4224654,1,2024,3
Earthquake,China,2.652747469294584,2261,697554915.1147318,1,2024,0
Flood,Brazil,8.157574165374776,5016,720960902.8379518,1,2024,0
Flood,India,1.0241866427623108,5135,998583347.2911228,1,2024,0
Earthquake,Indonesia,8.405111071706369,8636,301620439.6357995,1,2024,0
Flood,USA,9.465754017318456,439,350737478.3509172,1,2024,0
Earthquake,USA,6.143754196292025,206,570378176.6838186,1,2024,0
Earthquake,China,8.948562576656371,2176,452037092.4562212,1,2024,0
Earthquake,Indonesia,8.298958692681332,3512,688364608.3828303,1,2024,0
Hurricane,Japan,6.850348155717872,5423,720480066.3499309,1,2024,3
Tornado,Indonesia,8.368748853298573,4682,365297720.1269638,1,2024,2
Wildfire,India,4.81366480445072,1720,183142032.67301875,1,2024,2
Earthquake,Japan,4.589685578220729,3615,841308023.5412865,1,2024,0
Earthquake,Japan,9.54615064758712,142,470365410.5075362,1,2024,0
Earthquake,India,6.229724704583683,8823,243134578.85005108,1,2024,0
Hurricane,USA,5.672028929285871,593,884922999.79834,1,2024,3
Hurricane,Indonesia,8.80221179529412,7954,153131596.03101614,1,2024,3
Hurricane,USA,3.619608237874318,3763,107650734.85037433,1,2024,3
Wildfire,USA,2.211183422357643,9780,313702258.79681915,1,2024,2
Flood,China,2.003895812795447,2415,970430242.1578988,1,2024,0
Hurricane,Brazil,9.696287973047776,1523,856200324.4708405,1,2024,3
Flood,Indonesia,5.933946341655817,8386,462335970.87352985,1,2024,0
Flood,China,7.015748036081089,3675,823567866.4598384,1,2024,0
Tornado,India,8.254696501735088,9403,912318985.443098,1,2024,2
Hurricane,Indonesia,9.70979098673643,59,92082187.70704757,1,2024,3
